"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"MEX","AVWAGE","TOT","USD","A","2014",15109,
"MEX","AVWAGE","TOT","USD","A","2015",14867,
"NLD","AVWAGE","TOT","USD","A","2000",45101,
"NLD","AVWAGE","TOT","USD","A","2001",45707,
"NLD","AVWAGE","TOT","USD","A","2002",45995,
"NLD","AVWAGE","TOT","USD","A","2003",46498,
"NLD","AVWAGE","TOT","USD","A","2004",47151,
"NLD","AVWAGE","TOT","USD","A","2005",47319,
"NLD","AVWAGE","TOT","USD","A","2006",47284,
"NLD","AVWAGE","TOT","USD","A","2007",47815,
"NLD","AVWAGE","TOT","USD","A","2008",48100,
"NLD","AVWAGE","TOT","USD","A","2009",49971,
"NLD","AVWAGE","TOT","USD","A","2010",50235,
"NLD","AVWAGE","TOT","USD","A","2011",49925,
"NLD","AVWAGE","TOT","USD","A","2012",50044,
"NLD","AVWAGE","TOT","USD","A","2013",50128,
"NLD","AVWAGE","TOT","USD","A","2014",49707,
"NLD","AVWAGE","TOT","USD","A","2015",50670,
"NOR","AVWAGE","TOT","USD","A","2000",35680,
"NOR","AVWAGE","TOT","USD","A","2001",36584,
"NOR","AVWAGE","TOT","USD","A","2002",38024,
"NOR","AVWAGE","TOT","USD","A","2003",38508,
"NOR","AVWAGE","TOT","USD","A","2004",39758,
"NOR","AVWAGE","TOT","USD","A","2005",40867,
"NOR","AVWAGE","TOT","USD","A","2006",42466,
"NOR","AVWAGE","TOT","USD","A","2007",44286,
"NOR","AVWAGE","TOT","USD","A","2008",45321,
"NOR","AVWAGE","TOT","USD","A","2009",45771,
"NOR","AVWAGE","TOT","USD","A","2010",46377,
"NOR","AVWAGE","TOT","USD","A","2011",47930,
"NOR","AVWAGE","TOT","USD","A","2012",49232,
"NOR","AVWAGE","TOT","USD","A","2013",50241,
"NOR","AVWAGE","TOT","USD","A","2014",50614,
"NOR","AVWAGE","TOT","USD","A","2015",50908,
"POL","AVWAGE","TOT","USD","A","2000",19314,
"POL","AVWAGE","TOT","USD","A","2001",20409,
"POL","AVWAGE","TOT","USD","A","2002",20337,
"POL","AVWAGE","TOT","USD","A","2003",20587,
"POL","AVWAGE","TOT","USD","A","2004",20222,
"POL","AVWAGE","TOT","USD","A","2005",20109,
"POL","AVWAGE","TOT","USD","A","2006",20257,
"POL","AVWAGE","TOT","USD","A","2007",20724,
"POL","AVWAGE","TOT","USD","A","2008",21969,
"POL","AVWAGE","TOT","USD","A","2009",21921,
"POL","AVWAGE","TOT","USD","A","2010",22669,
"POL","AVWAGE","TOT","USD","A","2011",22669,
"POL","AVWAGE","TOT","USD","A","2012",22457,
"POL","AVWAGE","TOT","USD","A","2013",22723,
"POL","AVWAGE","TOT","USD","A","2014",23156,
"POL","AVWAGE","TOT","USD","A","2015",23998,
"PRT","AVWAGE","TOT","USD","A","2000",25557,
"PRT","AVWAGE","TOT","USD","A","2001",25669,
"PRT","AVWAGE","TOT","USD","A","2002",25657,
"PRT","AVWAGE","TOT","USD","A","2003",25590,
"PRT","AVWAGE","TOT","USD","A","2004",25634,
"PRT","AVWAGE","TOT","USD","A","2005",25487,
"PRT","AVWAGE","TOT","USD","A","2006",24935,
"PRT","AVWAGE","TOT","USD","A","2007",25111,
"PRT","AVWAGE","TOT","USD","A","2008",25029,
"PRT","AVWAGE","TOT","USD","A","2009",26185,
"PRT","AVWAGE","TOT","USD","A","2010",26085,
"PRT","AVWAGE","TOT","USD","A","2011",25465,
"PRT","AVWAGE","TOT","USD","A","2012",24365,
"PRT","AVWAGE","TOT","USD","A","2013",24865,
"PRT","AVWAGE","TOT","USD","A","2014",24359,
"PRT","AVWAGE","TOT","USD","A","2015",24105,
"SVK","AVWAGE","TOT","USD","A","2000",15243,
"SVK","AVWAGE","TOT","USD","A","2001",15233,
"SVK","AVWAGE","TOT","USD","A","2002",16033,
"SVK","AVWAGE","TOT","USD","A","2003",16383,
"SVK","AVWAGE","TOT","USD","A","2004",16652,
"SVK","AVWAGE","TOT","USD","A","2005",17733,
"SVK","AVWAGE","TOT","USD","A","2006",18321,
"SVK","AVWAGE","TOT","USD","A","2007",19447,
"SVK","AVWAGE","TOT","USD","A","2008",19640,
"SVK","AVWAGE","TOT","USD","A","2009",20302,
"SVK","AVWAGE","TOT","USD","A","2010",21196,
"SVK","AVWAGE","TOT","USD","A","2011",21008,
"SVK","AVWAGE","TOT","USD","A","2012",20776,
"SVK","AVWAGE","TOT","USD","A","2013",20934,
"SVK","AVWAGE","TOT","USD","A","2014",21340,
"SVK","AVWAGE","TOT","USD","A","2015",22031,
"ESP","AVWAGE","TOT","USD","A","2000",34273,
"ESP","AVWAGE","TOT","USD","A","2001",34266,
"ESP","AVWAGE","TOT","USD","A","2002",34518,
"ESP","AVWAGE","TOT","USD","A","2003",34425,
"ESP","AVWAGE","TOT","USD","A","2004",34070,
"ESP","AVWAGE","TOT","USD","A","2005",34268,
"ESP","AVWAGE","TOT","USD","A","2006",34138,
"ESP","AVWAGE","TOT","USD","A","2007",34585,
"ESP","AVWAGE","TOT","USD","A","2008",35977,
"ESP","AVWAGE","TOT","USD","A","2009",38414,
"ESP","AVWAGE","TOT","USD","A","2010",37755,
"ESP","AVWAGE","TOT","USD","A","2011",37220,
"ESP","AVWAGE","TOT","USD","A","2012",36062,
"ESP","AVWAGE","TOT","USD","A","2013",36382,
"ESP","AVWAGE","TOT","USD","A","2014",36034,
"ESP","AVWAGE","TOT","USD","A","2015",36325,
"SWE","AVWAGE","TOT","USD","A","2000",32429,
"SWE","AVWAGE","TOT","USD","A","2001",32612,
"SWE","AVWAGE","TOT","USD","A","2002",32881,
"SWE","AVWAGE","TOT","USD","A","2003",33291,
"SWE","AVWAGE","TOT","USD","A","2004",34299,
"SWE","AVWAGE","TOT","USD","A","2005",34969,
"SWE","AVWAGE","TOT","USD","A","2006",35814,
"SWE","AVWAGE","TOT","USD","A","2007",36971,
"SWE","AVWAGE","TOT","USD","A","2008",37481,
"SWE","AVWAGE","TOT","USD","A","2009",37728,
"SWE","AVWAGE","TOT","USD","A","2010",37951,
"SWE","AVWAGE","TOT","USD","A","2011",38428,
"SWE","AVWAGE","TOT","USD","A","2012",39283,
"SWE","AVWAGE","TOT","USD","A","2013",39692,
"SWE","AVWAGE","TOT","USD","A","2014",40201,
"SWE","AVWAGE","TOT","USD","A","2015",40909,
"CHE","AVWAGE","TOT","USD","A","2000",50330,
"CHE","AVWAGE","TOT","USD","A","2001",52185,
"CHE","AVWAGE","TOT","USD","A","2002",52855,
"CHE","AVWAGE","TOT","USD","A","2003",52948,
"CHE","AVWAGE","TOT","USD","A","2004",52369,
"CHE","AVWAGE","TOT","USD","A","2005",53122,
"CHE","AVWAGE","TOT","USD","A","2006",53516,
"CHE","AVWAGE","TOT","USD","A","2007",54267,
"CHE","AVWAGE","TOT","USD","A","2008",54512,
"CHE","AVWAGE","TOT","USD","A","2009",55593,
"CHE","AVWAGE","TOT","USD","A","2010",55540,
"CHE","AVWAGE","TOT","USD","A","2011",55815,
"CHE","AVWAGE","TOT","USD","A","2012",56902,
"CHE","AVWAGE","TOT","USD","A","2013",57707,
"CHE","AVWAGE","TOT","USD","A","2014",58210,
"CHE","AVWAGE","TOT","USD","A","2015",58389,
"GBR","AVWAGE","TOT","USD","A","2000",38829,
"GBR","AVWAGE","TOT","USD","A","2001",40708,
"GBR","AVWAGE","TOT","USD","A","2002",41318,
"GBR","AVWAGE","TOT","USD","A","2003",42206,
"GBR","AVWAGE","TOT","USD","A","2004",42959,
"GBR","AVWAGE","TOT","USD","A","2005",42766,
"GBR","AVWAGE","TOT","USD","A","2006",43807,
"GBR","AVWAGE","TOT","USD","A","2007",44842,
"GBR","AVWAGE","TOT","USD","A","2008",43552,
"GBR","AVWAGE","TOT","USD","A","2009",43889,
"GBR","AVWAGE","TOT","USD","A","2010",42760,
"GBR","AVWAGE","TOT","USD","A","2011",41679,
"GBR","AVWAGE","TOT","USD","A","2012",41514,
"GBR","AVWAGE","TOT","USD","A","2013",40971,
"GBR","AVWAGE","TOT","USD","A","2014",40652,
"GBR","AVWAGE","TOT","USD","A","2015",41384,
"USA","AVWAGE","TOT","USD","A","2000",51295,
"USA","AVWAGE","TOT","USD","A","2001",51726,
"USA","AVWAGE","TOT","USD","A","2002",52122,
"USA","AVWAGE","TOT","USD","A","2003",52731,
"USA","AVWAGE","TOT","USD","A","2004",53755,
"USA","AVWAGE","TOT","USD","A","2005",53811,
"USA","AVWAGE","TOT","USD","A","2006",54690,
"USA","AVWAGE","TOT","USD","A","2007",55780,
"USA","AVWAGE","TOT","USD","A","2008",55560,
"USA","AVWAGE","TOT","USD","A","2009",56042,
"USA","AVWAGE","TOT","USD","A","2010",56398,
"USA","AVWAGE","TOT","USD","A","2011",56540,
"USA","AVWAGE","TOT","USD","A","2012",56995,
"USA","AVWAGE","TOT","USD","A","2013",56701,
"USA","AVWAGE","TOT","USD","A","2014",57594,
"USA","AVWAGE","TOT","USD","A","2015",58714,
"EST","AVWAGE","TOT","USD","A","2000",11858,
"EST","AVWAGE","TOT","USD","A","2001",12265,
"EST","AVWAGE","TOT","USD","A","2002",12836,
"EST","AVWAGE","TOT","USD","A","2003",14051,
"EST","AVWAGE","TOT","USD","A","2004",15092,
"EST","AVWAGE","TOT","USD","A","2005",16066,
"EST","AVWAGE","TOT","USD","A","2006",17236,
"EST","AVWAGE","TOT","USD","A","2007",19929,
"EST","AVWAGE","TOT","USD","A","2008",20079,
"EST","AVWAGE","TOT","USD","A","2009",19263,
"EST","AVWAGE","TOT","USD","A","2010",19237,
"EST","AVWAGE","TOT","USD","A","2011",18375,
"EST","AVWAGE","TOT","USD","A","2012",18879,
"EST","AVWAGE","TOT","USD","A","2013",19226,
"EST","AVWAGE","TOT","USD","A","2014",20435,
"EST","AVWAGE","TOT","USD","A","2015",21564,
"ISR","AVWAGE","TOT","USD","A","2005",27689,
"ISR","AVWAGE","TOT","USD","A","2006",28919,
"ISR","AVWAGE","TOT","USD","A","2007",29476,
"ISR","AVWAGE","TOT","USD","A","2008",28711,
"ISR","AVWAGE","TOT","USD","A","2009",28021,
"ISR","AVWAGE","TOT","USD","A","2010",27883,
"ISR","AVWAGE","TOT","USD","A","2011",28126,
"ISR","AVWAGE","TOT","USD","A","2012",28565,
"ISR","AVWAGE","TOT","USD","A","2013",28846,
"ISR","AVWAGE","TOT","USD","A","2014",28949,
"ISR","AVWAGE","TOT","USD","A","2015",29794,
"SVN","AVWAGE","TOT","USD","A","2000",25676,
"SVN","AVWAGE","TOT","USD","A","2001",26730,
"SVN","AVWAGE","TOT","USD","A","2002",26721,
"SVN","AVWAGE","TOT","USD","A","2003",27284,
"SVN","AVWAGE","TOT","USD","A","2004",28604,
"SVN","AVWAGE","TOT","USD","A","2005",29722,
"SVN","AVWAGE","TOT","USD","A","2006",30682,
"SVN","AVWAGE","TOT","USD","A","2007",31345,
"SVN","AVWAGE","TOT","USD","A","2008",31818,
"SVN","AVWAGE","TOT","USD","A","2009",32106,
"SVN","AVWAGE","TOT","USD","A","2010",33070,
"SVN","AVWAGE","TOT","USD","A","2011",32983,
"SVN","AVWAGE","TOT","USD","A","2012",32055,
"SVN","AVWAGE","TOT","USD","A","2013",32002,
"SVN","AVWAGE","TOT","USD","A","2014",32443,
"SVN","AVWAGE","TOT","USD","A","2015",33085,
"OECD","AVWAGE","TOT","USD","A","2000",37782,
"OECD","AVWAGE","TOT","USD","A","2001",38216,
"OECD","AVWAGE","TOT","USD","A","2002",38342,
"OECD","AVWAGE","TOT","USD","A","2003",38725,
"OECD","AVWAGE","TOT","USD","A","2004",39231,
"OECD","AVWAGE","TOT","USD","A","2005",39437,
"OECD","AVWAGE","TOT","USD","A","2006",39765,
"OECD","AVWAGE","TOT","USD","A","2007",40216,
"OECD","AVWAGE","TOT","USD","A","2008",40117,
"OECD","AVWAGE","TOT","USD","A","2009",40345,
"OECD","AVWAGE","TOT","USD","A","2010",40301,
"OECD","AVWAGE","TOT","USD","A","2011",40413,
"OECD","AVWAGE","TOT","USD","A","2012",40434,
"OECD","AVWAGE","TOT","USD","A","2013",40461,
"OECD","AVWAGE","TOT","USD","A","2014",40710,
"OECD","AVWAGE","TOT","USD","A","2015",41253,
"ISL","AVWAGE","TOT","USD","A","2000",46269,
"ISL","AVWAGE","TOT","USD","A","2001",45900,
"ISL","AVWAGE","TOT","USD","A","2002",47410,
"ISL","AVWAGE","TOT","USD","A","2003",46203,
"ISL","AVWAGE","TOT","USD","A","2004",49185,
"ISL","AVWAGE","TOT","USD","A","2005",52179,
"ISL","AVWAGE","TOT","USD","A","2006",54196,
"ISL","AVWAGE","TOT","USD","A","2007",55961,
"ISL","AVWAGE","TOT","USD","A","2008",49548,
"ISL","AVWAGE","TOT","USD","A","2009",44149,
"ISL","AVWAGE","TOT","USD","A","2010",46183,
"ISL","AVWAGE","TOT","USD","A","2011",48321,
"ISL","AVWAGE","TOT","USD","A","2012",48425,
"ISL","AVWAGE","TOT","USD","A","2013",49726,
"ISL","AVWAGE","TOT","USD","A","2014",49953,
"NZL","AVWAGE","TOT","USD","A","2000",30660,
"NZL","AVWAGE","TOT","USD","A","2001",31218,
"NZL","AVWAGE","TOT","USD","A","2002",31804,
"NZL","AVWAGE","TOT","USD","A","2003",32962,
"NZL","AVWAGE","TOT","USD","A","2004",34126,
"NZL","AVWAGE","TOT","USD","A","2005",34701,
"NZL","AVWAGE","TOT","USD","A","2006",34924,
"NZL","AVWAGE","TOT","USD","A","2007",36988,
"NZL","AVWAGE","TOT","USD","A","2008",36596,
"NZL","AVWAGE","TOT","USD","A","2009",37042,
"NZL","AVWAGE","TOT","USD","A","2010",37554,
"NZL","AVWAGE","TOT","USD","A","2011",37581,
"NZL","AVWAGE","TOT","USD","A","2012",38331,
"CHL","AVWAGE","TOT","USD","A","2008",17664,
"CHL","AVWAGE","TOT","USD","A","2009",19875,
"CHL","AVWAGE","TOT","USD","A","2010",21014,
"CHL","AVWAGE","TOT","USD","A","2011",21308,
"CHL","AVWAGE","TOT","USD","A","2012",22343,
"CHL","AVWAGE","TOT","USD","A","2013",23019,
"CHL","AVWAGE","TOT","USD","A","2014",23247,
"CHL","AVWAGE","TOT","USD","A","2015",23247,
"LVA","AVWAGE","TOT","USD","A","2000",10173,
"LVA","AVWAGE","TOT","USD","A","2001",10521,
"LVA","AVWAGE","TOT","USD","A","2002",10186,
"LVA","AVWAGE","TOT","USD","A","2003",10947,
"LVA","AVWAGE","TOT","USD","A","2004",11864,
"LVA","AVWAGE","TOT","USD","A","2005",13794,
"LVA","AVWAGE","TOT","USD","A","2006",15230,
"LVA","AVWAGE","TOT","USD","A","2007",18789,
"LVA","AVWAGE","TOT","USD","A","2008",19402,
"LVA","AVWAGE","TOT","USD","A","2009",17497,
"LVA","AVWAGE","TOT","USD","A","2010",16811,
"LVA","AVWAGE","TOT","USD","A","2011",16214,
"LVA","AVWAGE","TOT","USD","A","2012",16870,
"LVA","AVWAGE","TOT","USD","A","2013",17690,
"LVA","AVWAGE","TOT","USD","A","2014",19067,
"LVA","AVWAGE","TOT","USD","A","2015",20518,
